epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,569.276,0.86822,0.68908,1.22987,0.97866,0.9787,0.98721,0.85258,0.6372,0.3405,0.99437,0.002575,0.002575,0.002575
77,585.229,0.84962,0.67412,1.21331,0.97568,0.98381,0.99118,0.85669,0.62538,0.33162,0.99486,0.002476,0.002476,0.002476
78,601.397,0.84856,0.66057,1.21799,0.96915,0.98317,0.99193,0.85932,0.59427,0.3379,0.98568,0.002377,0.002377,0.002377
79,617.624,0.83519,0.6478,1.20366,0.97252,0.97782,0.99129,0.86078,0.6074,0.33179,0.98526,0.002278,0.002278,0.002278
80,634.368,0.83433,0.64254,1.20123,0.97135,0.97777,0.99128,0.86713,0.5822,0.32806,0.97498,0.002179,0.002179,0.002179
81,650.631,0.81711,0.61888,1.18565,0.97874,0.97579,0.99088,0.86095,0.59851,0.32297,0.97482,0.00208,0.00208,0.00208
82,667.185,0.81577,0.63284,1.19494,0.97125,0.97824,0.98997,0.86313,0.59003,0.33298,0.97824,0.001981,0.001981,0.001981
83,683.559,0.84694,0.6582,1.21483,0.96877,0.9743,0.99015,0.867,0.57507,0.3289,0.97385,0.001882,0.001882,0.001882
84,699.973,0.85544,0.66385,1.21601,0.97809,0.97326,0.99132,0.86786,0.58194,0.32286,0.96768,0.001783,0.001783,0.001783
85,716.289,0.84705,0.66407,1.21507,0.97884,0.97657,0.98926,0.87547,0.55979,0.3105,0.95849,0.001684,0.001684,0.001684
86,732.556,0.83071,0.62628,1.20492,0.97593,0.98034,0.99214,0.87561,0.54867,0.30617,0.95356,0.001585,0.001585,0.001585
87,748.846,0.82894,0.64653,1.20585,0.98231,0.97752,0.99327,0.87868,0.55499,0.30554,0.95367,0.001486,0.001486,0.001486
88,765.222,0.83277,0.65717,1.2087,0.97555,0.985,0.99351,0.88037,0.54239,0.30469,0.95059,0.001387,0.001387,0.001387
89,781.702,0.83425,0.63844,1.1972,0.9732,0.98471,0.99313,0.88377,0.53269,0.30025,0.94345,0.001288,0.001288,0.001288
